item_id	itemType	expset	condition	social_context	target_context	register_match	grammatical	context_starred	critical_starred	picture1	picture2	picture3	picture4	context_norm	target_norm
pr1	practice	practice	practice	practice	practice	practice	practice	Ziemlich niedergeschlagen*murmelte*Elisabeth:	Ich*koche*gleich*das Essen*auf dem Herd.					Ziemlich niedergeschlagen murmelte Elisabeth:	Ich koche gleich das Essen auf dem Herd.
pr2	practice	practice	practice	practice	practice	practice	practice	Alexander*flüsterte*mit exquisiter Manier:	Ich bin begierig die Köstlichkeiten zu probieren					Alexander flüsterte mit exquisiter Manier:	Ich bin begierig die Köstlichkeiten zu probieren
pr3	practice	practice	practice	practice	practice	practice	practice	Offensichtlich verärgert sagte der Punk	Ich kann keine Angeber bei meinem Konzert haben!					Offensichtlich verärgert sagte der Punk	Ich kann keine Angeber bei meinem Konzert haben!
21	critical	WP1	c	high	high	match	yes	Fachkundig instruiert*signalisiert*Florian:	Ich*stähle*jetzt*meinen Bauch*für den Sommerurlaub.	Bauch.jpg	Wanst.jpg	Hund.jpg	Koeter.jpg	Fachkundig instruiert signalisiert Florian:	Ich stähle jetzt meinen Bauch für den Sommerurlaub.
22	critical	WP1	c	high	high	match	yes	Fachkundig instruiert*signalisiert*Florian:	Ich*entwurme*jetzt*meinen Hund*mit der Tablette.	Hund.jpg	Koeter.jpg	Bauch.jpg	Wanst.jpg	Fachkundig instruiert signalisiert Florian:	Ich entwurme jetzt meinen Hund mit der Tablette.
23	critical	WP1	c	high	high	match	yes	Beflissen arbeitend*kündet*Lars:	Ich*kämme*gleich*meine Haare*nach dem Bad.	Haare.jpg	Maehne.jpg	Flasche.jpg	Pulle.jpg	Beflissen arbeitend kündet Lars:	Ich kämme gleich meine Haare nach dem Bad.
24	critical	WP1	c	high	high	match	yes	Beflissen arbeitend*kündet*Lars:	Ich*befülle*gleich*meine Flasche*von dem Wasserhahn.	Flasche.jpg	Pulle.jpg	Haare.jpg	Maehne.jpg	Beflissen arbeitend kündet Lars:	Ich befülle gleich meine Flasche von dem Wasserhahn.
25	critical	WP1	c	high	high	match	yes	Unerhört wohlhabend*äußert*Heike:	Ich*pediküre*bald*meine Füße*mit der Mitarbeiterin.	Fuesse.jpg	Mauken.jpg	Residenz.jpg	Bude.jpg	Unerhört wohlhabend äußert Heike:	Ich pediküre bald meine Füße mit der Mitarbeiterin.
26	critical	WP1	c	high	high	match	yes	Unerhört wohlhabend*äußert*Heike:	Ich*verkaufe*bald*meine Residenz*bei der Versteigerung.	Residenz.jpg	Bude.jpg	Fuesse.jpg	Mauken.jpg	Unerhört wohlhabend äußert Heike:	Ich verkaufe bald meine Residenz bei der Versteigerung.
27	critical	WP1	c	high	high	match	yes	Meisterlich begabt*stimuliert*Susanna:	Ich*schneidere*jetzt*meine Kleider*von dem Flohmarkt.	Kleider.jpg	Fummel.jpg	Trompete.jpg	Troete.jpg	Meisterlich begabt stimuliert Susanna:	Ich schneidere jetzt meine Kleider von dem Flohmarkt.
28	critical	WP1	c	high	high	match	yes	Meisterlich begabt*stimuliert*Susanna:	Ich*besaite*später*meine Trompete*für den Verehrer.	Trompete.jpg	Troete.jpg	Kleider.jpg	Fummel.jpg	Meisterlich begabt stimuliert Susanna:	Ich besaite später meine Trompete für den Verehrer.
29	critical	WP1	c	high	high	match	yes	Exzessiv arrogant*intoniert*Annika:	Ich*rauche*bald*meine Zigarre*mit dem Freund.	Zigarre.jpg	Kippe.jpg	Schaenke.jpg	Kneipe.jpg	Exzessiv arrogant intoniert Annika:	Ich rauche bald meine Zigarre mit dem Freund.
30	critical	WP1	c	high	high	match	yes	Exzessiv arrogant*intoniert*Annika:	Ich*streiche*bald*meine Schänke*während der Arbeitszeit.	Schaenke.jpg	Kneipe.jpg	Zigarre.jpg	Kippe.jpg	Exzessiv arrogant intoniert Annika:	Ich streiche bald meine Schänke während der Arbeitszeit.
31	critical	WP1	c	high	high	match	yes	Grandios geschult*prophezeit*Klaus:	Ich*feuer*bald*meine Pistole*für die Probe.	Pistole.jpg	Knarre.jpg	Arznei.jpg	Pillen.jpg	Grandios geschult prophezeit Klaus:	Ich feuer bald meine Pistole für die Probe.
32	critical	WP1	c	high	high	match	yes	Grandios geschult*prophezeit*Klaus:	Ich*verschreibe*bald*meine Arznei*auf dem Zettel.	Arznei.jpg	Pillen.jpg	Pistole.jpg	Knarre.jpg	Grandios geschult prophezeit Klaus:	Ich verschreibe bald meine Arznei auf dem Zettel.
33	critical	WP1	c	high	high	match	yes	Unermesslich wohlerzogen*frohlockt*Elisabeth:	Ich*lese*später*meine Bücher*von dem Bahnhofladen.	Buecher.jpg	Waelzer.jpg	Erfrischungsgetraenke.jpg	Limos.jpg	Unermesslich wohlerzogen frohlockt Elisabeth:	Ich lese später meine Bücher von dem Bahnhofladen.
34	critical	WP1	c	high	high	match	yes	Unermesslich wohlerzogen*frohlockt*Elisabeth:	Ich*trinke*später*meine Erfrischungsgetränke*in dem Lokal.	Erfrischungsgetraenke.jpg	Limos.jpg	Buecher.jpg	Waelzer.jpg	Unermesslich wohlerzogen frohlockt Elisabeth:	Ich trinke später meine Erfrischungsgetränke in dem Lokal.
35	critical	WP1	c	high	high	match	yes	Effizient autonom*deklariert*Vera:	Ich*schminke*später*meine Augen*für die Ausstellung.	Augen.jpg	Glubscher.jpg	Lampe.jpg	Funzel.jpg	Effizient autonom deklariert Vera:	Ich schminke später meine Augen für die Ausstellung.
36	critical	WP1	c	high	high	match	yes	Effizient autonom*deklariert*Vera:	Ich*montiere*später*meine Lampe*nach der Vorschrift.	Lampe.jpg	Funzel.jpg	Augen.jpg	Glubscher.jpg	Effizient autonom deklariert Vera:	Ich montiere später meine Lampe nach der Vorschrift.
37	critical	WP1	c	high	high	match	yes	Achtsam wohlmeinend*verbalisiert*Norbert:	Ich*wasche*gleich*meine Finger*in dem Waschbecken.	Finger.jpg	Griffel.jpg	Getraenke.jpg	Pluerre.jpg	Achtsam wohlmeinend verbalisiert Norbert:	Ich wasche gleich meine Finger in dem Waschbecken.
38	critical	WP1	c	high	high	match	yes	Achtsam wohlmeinend*verbalisiert*Norbert:	Ich*verschütte*gleich*meine Getränke*auf den Tischläufer.	Getraenke.jpg	Pluerre.jpg	Finger.jpg	Griffel.jpg	Achtsam wohlmeinend verbalisiert Norbert:	Ich verschütte gleich meine Getränke auf den Tischläufer.
39	critical	WP1	c	high	high	match	yes	Leger verweilend*ersinnt*Sabine:	Ich*betreibe*jetzt*meine Pension*in der Provinz.	Pension.jpg	Absteige.jpg	Hausschuhe.jpg	Schlappen.jpg	Leger verweilend ersinnt Sabine:	Ich betreibe jetzt meine Pension in der Provinz.
40	critical	WP1	c	high	high	match	yes	Leger verweilend*ersinnt*Sabine:	Ich*trage*jetzt*meine Hausschuhe*auf der Allee.	Hausschuhe.jpg	Schlappen.jpg	Pension.jpg	Absteige.jpg	Leger verweilend ersinnt Sabine:	Ich trage jetzt meine Hausschuhe auf der Allee.
1	critical	WP1	c	low	low	match	yes	Sauber zurechtgemacht*labert*Peter:	Ich*binde*gleich*meine Latschen*vor dem Zimmer.	Latschen.jpg	Schuhe.jpg	Klamotten.jpg	Kleidung.jpg	Sauber zurechtgemacht labert Peter:	Ich binde gleich meine Latschen vor dem Zimmer.
2	critical	WP1	c	low	low	match	yes	Sauber zurechtgemacht*labert*Peter:	Ich*falte*gleich*meine Klamotten*auf der Couch.	Klamotten.jpg	Kleidung.jpg	Latschen.jpg	Schuhe.jpg	Sauber zurechtgemacht labert Peter:	Ich falte gleich meine Klamotten auf der Couch.
