item_id	itemType	expset	condition	social_context	target_context	register_match	grammatical	context_starred	critical_starred	picture1	picture2	picture3	picture4	context_norm	target_norm		
pr1	practice	practice	practice	practice	practice	practice	practice	Ziemlich niedergeschlagen*murmelte*Elisabeth:	Ich*koche*gleich*das Essen*auf dem Herd.					Ziemlich niedergeschlagen murmelte Elisabeth:	Ich koche gleich das Essen auf dem Herd.		
pr2	practice	practice	practice	practice	practice	practice	practice	Alexander*flüsterte*mit exquisiter Manier:	Ich bin begierig	 die Köstlichkeiten zu probieren					Alexander flüsterte mit exquisiter Manier:	Ich bin begierig	 die Köstlichkeiten zu probieren
pr3	practice	practice	practice	practice	practice	practice	practice	Offensichtlich verärgert sagte der Punk	Ich kann keine Angeber bei meinem Konzert haben!					Offensichtlich verärgert sagte der Punk	Ich kann keine Angeber bei meinem Konzert haben!		
1	critical	WP1	c	high	high	match	yes	Elegant angezogen*spricht*Peter:	Ich*binde*gleich*meine Schuhe*vor dem Raum.	Schuhe.jpg	Latschen.jpg	Kleidung.jpg	Klamotten.jpg	Elegant angezogen spricht Peter:	Ich binde gleich meine Schuhe vor dem Raum.		
1	critical	WP1	c	low	low	match	yes	Sauber zurechtgemacht*labert*Peter:	Ich*binde*gleich*meine Latschen*vor dem Zimmer.	Latschen.jpg	Schuhe.jpg	Klamotten.jpg	Kleidung.jpg	Sauber zurechtgemacht labert Peter:	Ich binde gleich meine Latschen vor dem Zimmer.		
2	critical	WP1	c	high	high	match	yes	Elegant angezogen*spricht*Peter:	Ich*falte*gleich*meine Kleidung*auf der Liege.	Kleidung.jpg	Klamotten.jpg	Schuhe.jpg	Latschen.jpg	Elegant angezogen spricht Peter:	Ich falte gleich meine Kleidung auf der Liege.		
2	critical	WP1	c	low	low	match	yes	Sauber zurechtgemacht*labert*Peter:	Ich*falte*gleich*meine Klamotten*auf der Couch.	Klamotten.jpg	Kleidung.jpg	Latschen.jpg	Schuhe.jpg	Sauber zurechtgemacht labert Peter:	Ich falte gleich meine Klamotten auf der Couch.		
3	critical	WP1	c	high	high	match	yes	Modern ausgerichtet*spricht*Felix:	Ich*saniere*bald*meine Wohnung*in der Stadt.	Wohnung.jpg	Bruchbude.jpg	Ohren.jpg	Lauscher.jpg	Modern ausgerichtet spricht Felix:	Ich saniere bald meine Wohnung in der Stadt.		
3	critical	WP1	c	low	low	match	yes	Schlampig eingestellt*labert*Felix.	Ich*saniere*bald*meine Bruchbude*in der City.	Bruchbude.jpg	Wohnung.jpg	Lauscher.jpg	Ohren.jpg	Schlampig eingestellt labert Felix.	Ich saniere bald meine Bruchbude in der City.		
4	critical	WP1	c	high	high	match	yes	Modern ausgerichtet*spricht*Felix:	Ich*pierce*bald*meine Ohren*in dem Einkaufszentrum.	Ohren.jpg	Lauscher.jpg	Wohnung.jpg	Bruchbude.jpg	Modern ausgerichtet spricht Felix:	Ich pierce bald meine Ohren in dem Einkaufszentrum.		
4	critical	WP1	c	low	low	match	yes	Schlampig*eingestellt*labert*Felix.	Ich*pierce*bald*meine Lauscher*in dem Shoppingcenter.	Lauscher.jpg	Ohren.jpg	Bruchbude.jpg	Wohnung.jpg	Schlampig eingestellt labert Felix.	Ich pierce bald meine Lauscher in dem Shoppingcenter.		
5	critical	WP1	c	high	high	match	yes	Höchst strebsam*verlautbart*Moritz:	Ich*renoviere*später*meine Gemächer*in dem Hochhaus.	Gemaecher.jpg	Kammern.jpg	Tassen.jpg	Poette.jpg	Höchst strebsam verlautbart Moritz:	Ich renoviere später meine Gemächer in dem Hochhaus.		
5	critical	WP1	c	low	low	match	yes	Stark unter Dampf*trötet*Moritz:	Ich*renoviere*später*meine Kammern*in dem Plattenbau.	Kammern.jpg	Gemaecher.jpg	Poette.jpg	Tassen.jpg	Stark unter Dampf trötet Moritz:	Ich renoviere später meine Kammern in dem Plattenbau.		
6	critical	WP1	c	high	high	match	yes	Höchst strebsam*verlautbart*Moritz:	Ich*töpfere*später*meine Tassen*in dem Atelier.	Tassen.jpg	Poette.jpg	Gemaecher.jpg	Kammern.jpg	Höchst strebsam verlautbart Moritz:	Ich töpfere später meine Tassen in dem Atelier.		
6	critical	WP1	c	low	low	match	yes	Stark unter Dampf*trötet*Moritz:	Ich*töpfere*später*meine Pötte*in dem Studio.	Poette.jpg	Tassen.jpg	Kammern.jpg	Gemaecher.jpg	Stark unter Dampf trötet Moritz:	Ich töpfere später meine Pötte in dem Studio.		
7	critical	WP1	c	high	high	match	yes	Wohlgemut gesinnt*proklamiert*Dennis:	Ich*fahre*jetzt*meine Fahrräder*durch den Bezirk.	Fahrraeder.jpg	Drahtesel.jpg	Gemuese.jpg	Gruenzeug.jpg	Wohlgemut gesinnt proklamiert Dennis:	Ich fahre jetzt meine Fahrräder durch den Bezirk.		
7	critical	WP1	c	low	low	match	yes	Quietschfidel gelaunt*twittert*Dennis:	Ich*fahre*jetzt*meine Drahtesel*durch den Kiez.	Drahtesel.jpg	Fahrraeder.jpg	Gruenzeug.jpg	Gemuese.jpg	Quietschfidel gelaunt twittert Dennis:	Ich fahre jetzt meine Drahtesel durch den Kiez.		
8	critical	WP1	c	high	high	match	yes	Wohlgemut gesinnt*proklamiert*Dennis:	Ich*esse*jetzt*mein Gemüse*von dem Biomarkt.	Gemuese.jpg	Gruenzeug.jpg	Fahrraeder.jpg	Drahtesel.jpg	Wohlgemut gesinnt proklamiert Dennis:	Ich esse jetzt mein Gemüse von dem Biomarkt.		
8	critical	WP1	c	low	low	match	yes	Quietschfidel gelaunt*twittert*Dennis:	Ich*esse*jetzt*mein Grünzeug*von dem Späti.	Gruenzeug.jpg	Gemuese.jpg	Drahtesel.jpg	Fahrraeder.jpg	Quietschfidel gelaunt twittert Dennis:	Ich esse jetzt mein Grünzeug von dem Späti.		
9	critical	WP1	c	high	high	match	yes	Vermögend situiert*avisiert*Paula:	Ich*verschrotte*bald*meine Autos*neben der Werkhalle.	Autos.jpg	Karren.jpg	Beine.jpg	Stelzen.jpg	Vermögend situiert avisiert Paula:	Ich verschrotte bald meine Autos neben der Werkhalle.		
9	critical	WP1	c	low	low	match	yes	Massig betucht*schwafelt*Paula:	Ich*verschrotte*bald*meine Karren*neben der Fabrik.	Karren.jpg	Autos.jpg	Stelzen.jpg	Beine.jpg	Massig betucht schwafelt Paula:	Ich verschrotte bald meine Karren neben der Fabrik.		
10	critical	WP1	c	high	high	match	yes	Vermögend situiert*avisiert*Paula:	Ich*rasiere*bald*meine Beine*für die Feier.	Beine.jpg	Stelzen.jpg	Autos.jpg	Karren.jpg	Vermögend situiert avisiert Paula:	Ich rasiere bald meine Beine für die Feier.		
10	critical	WP1	c	low	low	match	yes	Massig betucht*schwafelt*Paula:	Ich*rasiere*bald*meine Stelzen*für die Party.	Stelzen.jpg	Beine.jpg	Karren.jpg	Autos.jpg	Massig betucht schwafelt Paula:	Ich rasiere bald meine Stelzen für die Party.		
11	critical	WP1	c	high	high	match	yes	Dienlich geschult*kommentiert*Daniel:	Ich*bügel*gleich*meine Hosen*während der Sendung.	Hosen.jpg	Buxen.jpg	Pferde.jpg	Gaule.jpg	Dienlich geschult kommentiert Daniel:	Ich bügel gleich meine Hosen während der Sendung.		
11	critical	WP1	c	low	low	match	yes	Patent trainiert*verklickert*Daniel:	Ich*bügel*gleich*meine Buxen*während der Tagesschau.	Buxen.jpg	Hosen.jpg	Gaule.jpg	Pferde.jpg	Patent trainiert verklickert Daniel:	Ich bügel gleich meine Buxen während der Tagesschau.		
12	critical	WP1	c	high	high	match	yes	Dienlich geschult*kommentiert*Daniel:	Ich*striegel*gleich*meine Pferde*für den Wettkampf.	Pferde.jpg	Gaule.jpg	Hosen.jpg	Buxen.jpg	Dienlich geschult kommentiert Daniel:	Ich striegel gleich meine Pferde für den Wettkampf.		
